filename,jamming_detected,jamming_event_count,jam_state_0_unknown,jam_state_1_ok,jam_state_2_warn,jam_state_3_crit,agc_mean,agc_std,agc_min,agc_q1,agc_median,agc_q3,agc_max
dan_20241111.ubx,False,0,0,86400,0,0,8593.566701388889,1475.1627584118255,105.0,8082.0,8847.0,9360.0,65431.0
dan_20241112.ubx,False,0,0,86397,0,0,8584.717605935391,1526.797625509196,126.0,8081.0,8847.0,9360.0,65425.0
dan_20241113.ubx,False,0,0,86399,0,0,8624.414727022304,1541.9524805046126,138.0,8082.0,8848.0,9361.0,65432.0
dan_20241114.ubx,False,0,0,86399,0,0,8587.91535781664,1599.1883324724317,130.0,8080.0,8847.0,9360.0,65437.0
dan_20241115.ubx,False,0,0,86400,0,0,8456.986875,1713.774602082107,130.0,8076.0,8843.0,9357.0,65431.0
dan_20241116.ubx,False,0,0,86398,0,0,8435.919315261928,1926.9429206371274,106.0,8075.0,8833.0,9356.0,65427.0
dan_20241117.ubx,False,0,0,86397,0,0,8483.437445744645,1926.3844144008735,135.0,8078.0,8845.0,9358.0,65428.0
dan_20241118.ubx,False,0,0,86397,0,0,8462.59921062074,1854.1938335897357,96.0,8078.0,8843.0,9357.0,65432.0
dan_20241119.ubx,False,0,0,86399,0,0,8512.844257456683,1680.4466007192862,137.0,8079.0,8844.0,9358.0,65426.0
dan_20241120.ubx,False,0,0,86396,0,0,8570.912449650446,1645.8047793747626,138.0,8080.0,8846.0,9359.0,65427.0
dan_20241121.ubx,False,0,0,86395,0,0,8584.62629781816,1562.8348390967667,126.0,8080.0,8847.0,9360.0,65427.0
dan_20241122.ubx,False,0,0,86399,0,0,8602.55880276392,1618.0488646497458,105.0,8081.0,8847.0,9360.0,65426.0
dan_20241123.ubx,False,0,0,86397,0,0,8540.67317152216,1619.2770463718932,111.0,8079.0,8846.0,9359.0,65429.0
dan_20241124.ubx,False,0,0,86397,0,0,8560.067039364792,1616.6728071889836,141.0,8080.0,8847.0,9361.0,65429.0
dan_20241125.ubx,False,0,0,86397,0,0,8552.362732502286,1674.0393263265485,118.0,8081.0,8848.0,9361.0,65431.0
dan_20241126.ubx,False,0,0,86398,0,0,8474.125755225816,1907.0193732609023,105.0,8077.0,8846.0,9360.0,65428.0
dan_20241127.ubx,False,0,0,86395,0,0,8426.432351409225,1972.5513080607877,111.0,8042.0,8600.0,9359.0,65427.0
dan_20241128.ubx,False,0,0,86397,0,0,8391.625473106706,1759.196312989455,131.0,7827.0,8595.0,9357.0,65428.0
dan_20241129.ubx,False,0,0,86397,0,0,8354.78830283459,1803.2134550198984,139.0,7826.0,8594.0,9333.0,65430.0
dan_20241130.ubx,False,0,0,86399,0,0,8354.648375559902,1757.4023334499375,107.0,7826.0,8594.0,9332.0,65428.0
dan_20241201.ubx,False,0,0,86398,0,0,8315.403435264705,1819.109368093318,106.0,7824.0,8594.0,9109.0,65432.0
dan_20241202.ubx,False,0,0,86398,0,0,8335.450959512951,1908.5581738198334,141.0,7825.0,8594.0,9114.0,65430.0
dan_20241203.ubx,False,0,0,86397,0,0,8293.33072907624,1844.8388242511096,127.0,7825.0,8594.0,9109.0,65430.0
dan_20241204.ubx,False,0,0,86397,0,0,8293.779540956284,1956.887890032331,135.0,7825.0,8594.0,9108.0,65430.0
dan_20241205.ubx,False,0,0,86399,0,0,8248.25778076135,1845.6561857376525,126.0,7824.0,8593.0,9107.0,65435.0
dan_20241206.ubx,False,0,0,86397,0,0,8213.005833535886,1695.3238340162452,136.0,7824.0,8591.0,9106.0,65430.0
dan_20241207.ubx,False,0,0,86397,0,0,8152.988842205169,1638.1784935036158,138.0,7575.0,8343.0,9104.0,65431.0
dan_20241208.ubx,False,0,0,86398,0,0,8195.336662885715,1817.0575934040698,133.0,7795.0,8590.0,9106.0,65433.0
dan_20241209.ubx,False,0,0,86398,0,0,8245.831466006157,1753.4644326104817,139.0,7825.0,8593.0,9107.0,65433.0
dan_20241210.ubx,True,415,0,85983,415,0,8295.445473274844,1606.0901021467632,104.0,7826.0,8593.0,9107.0,65469.0
dan_20241211.ubx,True,481,0,85915,481,0,8275.78059169406,1544.6650670749013,119.0,7827.0,8594.0,9107.0,65437.0
dan_20241212.ubx,True,221,0,86176,221,0,8185.798395777631,1838.7990005665981,138.0,7822.0,8584.0,9106.0,65434.0
dan_20241213.ubx,True,90,0,86306,90,0,8216.540279642577,1557.56929264188,123.0,7823.0,8565.5,9106.0,65437.0
